RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,294,,,,,,100.0,0.0,0.0,0.0,2019
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,295,,,,,,50.1,,,,2020
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,295,12.6,,,,,51.9,3.1,0.0,8.0,2021
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,294,13.4,,,,,58.0,0.0,0.0,0.0,2022
150162990250862,Chicago Excel Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,214.0,20.3,,,,,57.8,2.5,2.5,3.6,2023
150162990250862,Chicago Excel Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,252,18.5,1.5,50.0,100.0,,62.4,*,*,*,2024
150162990250863,Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,477,,,,,,34.2,8.7,2.9,11.7,2019
150162990250863,Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,614,,,,,,24.9,,,,2020
150162990250863,Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,578,20.2,,,,,57.9,2.9,2.1,7.4,2021
150162990250863,Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,531,17.7,,,,,59.9,4.5,0.6,6.9,2022
150162990250863,Walter Henri Dyett High School for the Arts,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,520.0,18.0,,,,,70.2,4.5,0.7,4.5,2023
150162990250863,Walter Henri Dyett High School for the Arts,Chicago Public Schools District 299,Chicago,Cook,High School,500,21.0,9.8,18.4,50.0,,74.7,*,*,11.6,2024
150162990250867,Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,409,,,,,,35.5,,,,2020
150162990250867,Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,662,21.1,,,,,70.2,7.7,7.7,,2021
150162990250867,Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,808,24.1,,,,,85.1,2.2,2.2,7.0,2022
150162990250867,Englewood STEM High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,759.0,26.3,,,,,86.3,1.0,0.5,10.0,2023
150162990250867,Englewood STEM High School,Chicago Public Schools District 299,Chicago,Cook,High School,605,27.5,7.6,8.8,38.5,,87.1,*,*,*,2024
15016299025086C,Acero Chtr Sch Network Victoria Soto Campus,Chicago Public Schools District 299,Chicago,Cook,High School,564,23.6,9.1,6.4,99.5,,56.5,*,*,28.5,2024
15016905025001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High School,Chicago,Cook,HIGH SCHOOL,90,,,,,,,,,,2020
15016905025001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High Schoo,Chicago,Cook,HIGH SCHOOL,360,,,,,,36.7,,,,2021
15016905025001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High School,Chicago,Cook,HIGH SCHOOL,569,,,,,,52.3,11.1,17.3,26.1,2022
15016905025001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High School,Chicago,Cook,HIGH SCHOOL,628.0,14.8,,,,,58.5,18.1,8.5,24.9,2023
15016905025001C,Intrinsic 2 Charter High School,Intrinsic 2 Charter High School,Chicago,Cook,High School,699,16.2,3.5,38.2,52.0,,44.2,13.0,*,29.1,2024
15016906025001C,Urban Prep West Charter School,Urban Prep West Charter School,Chicago,Cook,HIGH SCHOOL,100,,,,,,,,,,2020
15016906025001C,Urban Prep West Charter School,Urban Prep West Charter School,Chicago,Cook,HIGH SCHOOL,82,14.2,,,,,72.9,0.0,0.0,,2021
15016906025001C,Urban Prep West Charter School,Urban Prep Charter Acad for Young Men - Downtown Campus,Chicago,Cook,HIGH SCHOOL,91,11.1,,,,,55.4,,,,2022
15016906025001C,Urban Prep West Charter School,Urban Prep Charter Acad for Young Men - Downtown Campus,Chicago,Cook,HIGH SCHOOL,52.0,10.0,,,,,,0.0,0.0,0.0,2023
601054280303050,IYC Chicago,IDJJ Sch Dist 428,Chicago,Dept Of Corrections,HIGH SCHOOL,51,,,,,,,,,,2019
601054280303050,IYC Chicago,IDJJ Sch Dist 428,Chicago,Dept Of Corrections,HIGH SCHOOL,40,,,,,,,,,,2020
601054280303050,IYC Chicago,IDJJ Sch Dist 428,Chicago,Dept Of Corrections,HIGH SCHOOL,15,4.3,,,,,,,,,2022
601054280303050,IYC Chicago,IDJJ Sch Dist 428,Chicago,Dept Of Corrections,HIGH SCHOOL,17.0,3.8,,,,,,,,,2023
